TiempoKey,Fecha,Mes,Dia,Anio
1,2017-01-01,1,1,2017
2,2017-01-02,1,2,2017
3,2017-01-03,1,3,2017
4,2017-01-04,1,4,2017
5,2017-01-05,1,5,2017
6,2017-01-06,1,6,2017
7,2017-01-07,1,7,2017
8,2017-01-08,1,8,2017
9,2017-01-09,1,9,2017
10,2017-01-10,1,10,2017
11,2017-01-11,1,11,2017
12,2017-01-12,1,12,2017
13,2017-01-13,1,13,2017
14,2017-01-14,1,14,2017
15,2017-01-15,1,15,2017
16,2017-01-16,1,16,2017
17,2017-01-17,1,17,2017
18,2017-01-18,1,18,2017
19,2017-01-19,1,19,2017
20,2017-01-20,1,20,2017
21,2017-01-21,1,21,2017
22,2017-01-22,1,22,2017
23,2017-01-23,1,23,2017
24,2017-01-24,1,24,2017
25,2017-01-25,1,25,2017
26,2017-01-26,1,26,2017
27,2017-01-27,1,27,2017
28,2017-01-28,1,28,2017
29,2017-01-29,1,29,2017
30,2017-01-30,1,30,2017
31,2017-01-31,1,31,2017
32,2017-02-01,2,1,2017
33,2017-02-02,2,2,2017
34,2017-02-03,2,3,2017
35,2017-02-04,2,4,2017
36,2017-02-05,2,5,2017
37,2017-02-06,2,6,2017
38,2017-02-07,2,7,2017
39,2017-02-08,2,8,2017
40,2017-02-09,2,9,2017
41,2017-02-10,2,10,2017
42,2017-02-11,2,11,2017
43,2017-02-12,2,12,2017
44,2017-02-13,2,13,2017
45,2017-02-14,2,14,2017
46,2017-02-15,2,15,2017
47,2017-02-16,2,16,2017
48,2017-02-17,2,17,2017
49,2017-02-18,2,18,2017
50,2017-02-19,2,19,2017
51,2017-02-20,2,20,2017
52,2017-02-21,2,21,2017
53,2017-02-22,2,22,2017
54,2017-02-23,2,23,2017
55,2017-02-24,2,24,2017
56,2017-02-25,2,25,2017
57,2017-02-26,2,26,2017
58,2017-02-27,2,27,2017
59,2017-02-28,2,28,2017
60,2017-03-01,3,1,2017
61,2017-03-02,3,2,2017
62,2017-03-03,3,3,2017
63,2017-03-04,3,4,2017
64,2017-03-05,3,5,2017
65,2017-03-06,3,6,2017
66,2017-03-07,3,7,2017
67,2017-03-08,3,8,2017
68,2017-03-09,3,9,2017
69,2017-03-10,3,10,2017
70,2017-03-11,3,11,2017
71,2017-03-12,3,12,2017
72,2017-03-13,3,13,2017
73,2017-03-14,3,14,2017
74,2017-03-15,3,15,2017
75,2017-03-16,3,16,2017
76,2017-03-17,3,17,2017
77,2017-03-18,3,18,2017
78,2017-03-19,3,19,2017
79,2017-03-20,3,20,2017
80,2017-03-21,3,21,2017
81,2017-03-22,3,22,2017
82,2017-03-23,3,23,2017
83,2017-03-24,3,24,2017
84,2017-03-25,3,25,2017
85,2017-03-26,3,26,2017
86,2017-03-27,3,27,2017
87,2017-03-28,3,28,2017
88,2017-03-29,3,29,2017
89,2017-03-30,3,30,2017
90,2017-03-31,3,31,2017
91,2017-04-01,4,1,2017
92,2017-04-02,4,2,2017
93,2017-04-03,4,3,2017
94,2017-04-04,4,4,2017
95,2017-04-05,4,5,2017
96,2017-04-06,4,6,2017
97,2017-04-07,4,7,2017
98,2017-04-08,4,8,2017
99,2017-04-09,4,9,2017
100,2017-04-10,4,10,2017
101,2017-04-11,4,11,2017
102,2017-04-12,4,12,2017
103,2017-04-13,4,13,2017
104,2017-04-14,4,14,2017
105,2017-04-15,4,15,2017
106,2017-04-16,4,16,2017
107,2017-04-17,4,17,2017
108,2017-04-18,4,18,2017
109,2017-04-19,4,19,2017
110,2017-04-20,4,20,2017
111,2017-04-21,4,21,2017
112,2017-04-22,4,22,2017
113,2017-04-23,4,23,2017
114,2017-04-24,4,24,2017
115,2017-04-25,4,25,2017
116,2017-04-26,4,26,2017
117,2017-04-27,4,27,2017
118,2017-04-28,4,28,2017
119,2017-04-29,4,29,2017
120,2017-04-30,4,30,2017
121,2017-05-01,5,1,2017
122,2017-05-02,5,2,2017
123,2017-05-03,5,3,2017
124,2017-05-04,5,4,2017
125,2017-05-05,5,5,2017
126,2017-05-06,5,6,2017
127,2017-05-07,5,7,2017
128,2017-05-08,5,8,2017
129,2017-05-09,5,9,2017
130,2017-05-10,5,10,2017
131,2017-05-11,5,11,2017
132,2017-05-12,5,12,2017
133,2017-05-13,5,13,2017
134,2017-05-14,5,14,2017
135,2017-05-15,5,15,2017
136,2017-05-16,5,16,2017
137,2017-05-17,5,17,2017
138,2017-05-18,5,18,2017
139,2017-05-19,5,19,2017
140,2017-05-20,5,20,2017
141,2017-05-21,5,21,2017
142,2017-05-22,5,22,2017
143,2017-05-23,5,23,2017
144,2017-05-24,5,24,2017
145,2017-05-25,5,25,2017
146,2017-05-26,5,26,2017
147,2017-05-27,5,27,2017
148,2017-05-28,5,28,2017
149,2017-05-29,5,29,2017
150,2017-05-30,5,30,2017
151,2017-05-31,5,31,2017
152,2017-06-01,6,1,2017
153,2017-06-02,6,2,2017
154,2017-06-03,6,3,2017
155,2017-06-04,6,4,2017
156,2017-06-05,6,5,2017
157,2017-06-06,6,6,2017
158,2017-06-07,6,7,2017
159,2017-06-08,6,8,2017
160,2017-06-09,6,9,2017
161,2017-06-10,6,10,2017
162,2017-06-11,6,11,2017
163,2017-06-12,6,12,2017
164,2017-06-13,6,13,2017
165,2017-06-14,6,14,2017
166,2017-06-15,6,15,2017
167,2017-06-16,6,16,2017
168,2017-06-17,6,17,2017
169,2017-06-18,6,18,2017
170,2017-06-19,6,19,2017
171,2017-06-20,6,20,2017
172,2017-06-21,6,21,2017
173,2017-06-22,6,22,2017
174,2017-06-23,6,23,2017
175,2017-06-24,6,24,2017
176,2017-06-25,6,25,2017
177,2017-06-26,6,26,2017
178,2017-06-27,6,27,2017
179,2017-06-28,6,28,2017
180,2017-06-29,6,29,2017
181,2017-06-30,6,30,2017
182,2017-07-01,7,1,2017
183,2017-07-02,7,2,2017
184,2017-07-03,7,3,2017
185,2017-07-04,7,4,2017
186,2017-07-05,7,5,2017
187,2017-07-06,7,6,2017
188,2017-07-07,7,7,2017
189,2017-07-08,7,8,2017
190,2017-07-09,7,9,2017
191,2017-07-10,7,10,2017
192,2017-07-11,7,11,2017
193,2017-07-12,7,12,2017
194,2017-07-13,7,13,2017
195,2017-07-14,7,14,2017
196,2017-07-15,7,15,2017
197,2017-07-16,7,16,2017
198,2017-07-17,7,17,2017
199,2017-07-18,7,18,2017
200,2017-07-19,7,19,2017
201,2017-07-20,7,20,2017
202,2017-07-21,7,21,2017
203,2017-07-22,7,22,2017
204,2017-07-23,7,23,2017
205,2017-07-24,7,24,2017
206,2017-07-25,7,25,2017
207,2017-07-26,7,26,2017
208,2017-07-27,7,27,2017
209,2017-07-28,7,28,2017
210,2017-07-29,7,29,2017
211,2017-07-30,7,30,2017
212,2017-07-31,7,31,2017
213,2017-08-01,8,1,2017
214,2017-08-02,8,2,2017
215,2017-08-03,8,3,2017
